ItmIID;ItmSID;ItmName255_DE;ItmName255_EN
E1_I_12;11;Regulation von Körperfunktionen;Regulation of bodily functions
E2_I_001;01_01;Fortbewegung;Locomotion
E2_I_003;01_03;Reibung/ Scherkräfte bei Positionswechsel/ Transfer;Friction/shear force when changing position/transferring
E2_I_004;01_06;Verändertes Gangbild;Altered gait
E2_I_005;01_07;Gleichgewichtsstörungen;Balance disturbances
E2_I_008;01_09;Erschöpfung/ Fatigue;Exhaustion/fatigue
E2_I_009;05_01;Körperpflege Oberkörper;Personal hygiene – Upper body
E2_I_010;05_02;Körperpflege Unterkörper;Personal hygiene – Lower body
E2_I_011;05_03;An-/Auskleiden Oberkörper;Dressing/Undressing – Upper body
E2_I_012;05_04;An-/Auskleiden Unterkörper;Dressing/Undressing – Lower body
E2_I_013;03_01;Essen;Eating
E2_I_014;03_02;Nahrungsmenge (oral);Quantity of nutrition (oral)
E2_I_015;03_03;Nahrungsmenge (gesamt);Quantity of nutrition (total)
E2_I_017;03_05;Trinken;Drinking
E2_I_022;03_10;Schluckstörungen;swallowing disorders
E2_I_024;04_01;Urinausscheidung durchführen;Urinating
E2_I_025;04_02;Urinausscheidung kontrollieren;Controlling urination
E2_I_026;04_03;Stuhlausscheidung durchführen;Defecating
E2_I_027;04_04;Stuhlausscheidung kontrollieren;Controlling defecation
E2_I_028;04_05;Dranghafte/ gesteigerte Ausscheidung;Excretion urgency/frequency
E2_I_029;04_09;Urinableitungssystem;Urinary diversion system
E2_I_030;04_10;Stuhlableitungssystem;Faecal diversion system
E2_I_031;04_08;Feuchtigkeit der Haut;Skin moisture
E2_I_032;06_01;Bewusstsein/ Vigilanz;Consciousness/ alertness
E2_I_033;06_02;Orientierung (Person, Ort, Zeit, Situation);Orientation (person, place, time, situation)
E2_I_041;08_01;Einschlafen/ Durchschlafen;Falling/ staying asleep
E2_I_042;08_02;Schlaf-Wach-Rhythmus;Sleep-wake cycle
E2_I_043;11_01;Atmung beeinträchtigt (aktuell);Breathing impaired (current)
E2_I_044;11_02;Chron. Erkrankung des Atmungssystems;Chronic respiratory illness
E2_I_045;11_03;Beatmung > 24h akt. Aufenthalt;Ventilation > 24h curr. stay
E2_I_048;10_01;Sensorische Wahrnehmung;Sensory perception
E2_I_050;10_03;Chronische Schmerzen;Chronic pain
E2_I_052;02_02;Wunden/ path. Hautveränderungen;Wounds/path. skin changes
E2_I_053;06_07;Sturz-/ Delir-Risiko erhöhende Medikamente;Drugs that increase risk of falls/delirium
E2_I_054;06_06;Aufmerksamkeit;Attentiveness
E2_I_055;03_13;Künstliche Ernährung/ verordnete Zusatzkost;Artificial feeding / prescribed additional food
E2_I_057;03_17;Übelkeit;Nausea
E2_I_058;03_15;Flüssigkeitsergänzung;Additional fluids
E2_I_059;03_14;Trinkmenge;Amount drunk
E2_I_060;03_12;Energie-/ Nährstoffbedarf;Energy/Nutrient requirements
E2_I_061;07_07;Hören;Hearing
E2_I_062;07_08;Sehen;Vision
E2_I_063;07_09;Sich mitteilen;Expressing him-/herself
E2_I_064;07_10;Selbst initiierte Aktivitäten;Self-initiated activities
E2_I_065;07_06;Merkmale herausfordernden Verhaltens;Indicators of challenging behaviour
E2_I_066;10_04;Schmerzintensität;Pain intensity
E2_I_067;03_18;Sondenernährung;Tube feeding
E2_I_068;11_06;Tracheostoma;Tracheostomy
E2_I_069;06_05;Alltagskompetenz;Everyday competence
E2_I_070;10_05;Traurigkeit;Sadness
E2_I_071;10_06;Angst;Anxiety
E2_I_073;05_05;Mundstatus;Mouth status
E2_I_082;06_15;Informationen verarbeiten/ verstehen;Processing/understanding information
E2_I_089;00_88;Freitext Zusatzvariable;Free text - additional variable
E2_I_090;01_88;Freitext Kategorie Bewegung;Free text, “Movement” category
